2018.04.04 11:11:21 INFO  es[][o.e.n.Node] initializing ...
2018.04.04 11:11:22 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/home (152.77.82.12:/vol/NAS_HOME)]], net usable_space [2.3tb], net total_space [3.9tb], spins? [possibly], types [nfs]
2018.04.04 11:11:22 INFO  es[][o.e.e.NodeEnvironment] heap size [494.9mb], compressed ordinary object pointers [true]
2018.04.04 11:11:22 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [kVUW3i6QTqKQNOws6w9haw]
2018.04.04 11:11:22 INFO  es[][o.e.n.Node] version[5.6.3], pid[26202], build[1a2f265/2017-10-06T20:33:39.012Z], OS[Linux/4.4.0-98-generic/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b14]
2018.04.04 11:11:22 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djdk.io.permissionsUseCanonicalPath=true, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j.skipJansi=true, -Xms512m, -Xmx512m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/home/g/grandmax/projet_devops/sonarqube-6.7.2/elasticsearch]
2018.04.04 11:11:24 INFO  es[][o.e.p.PluginsService] loaded module [aggs-matrix-stats]
2018.04.04 11:11:24 INFO  es[][o.e.p.PluginsService] loaded module [ingest-common]
2018.04.04 11:11:24 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2018.04.04 11:11:24 INFO  es[][o.e.p.PluginsService] loaded module [percolator]
2018.04.04 11:11:24 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2018.04.04 11:11:24 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2018.04.04 11:11:24 INFO  es[][o.e.p.PluginsService] no plugins loaded
2018.04.04 11:11:26 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen]
2018.04.04 11:11:26 INFO  es[][o.e.n.Node] initialized
2018.04.04 11:11:26 INFO  es[][o.e.n.Node] starting ...
2018.04.04 11:11:26 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2018.04.04 11:11:26 WARN  es[][o.e.b.BootstrapChecks] max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]
2018.04.04 11:11:29 INFO  es[][o.e.c.s.ClusterService] new_master {sonarqube}{kVUW3i6QTqKQNOws6w9haw}{wG7f1Ch1QfOVHrWIXpDI6A}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}, reason: zen-disco-elected-as-master ([0] nodes joined)
2018.04.04 11:11:29 INFO  es[][o.e.n.Node] started
2018.04.04 11:11:29 INFO  es[][o.e.g.GatewayService] recovered [0] indices into cluster_state
2018.04.04 11:11:40 INFO  es[][o.e.n.Node] stopping ...
2018.04.04 11:11:40 INFO  es[][o.e.n.Node] stopped
2018.04.04 11:11:40 INFO  es[][o.e.n.Node] closing ...
2018.04.04 11:11:40 INFO  es[][o.e.n.Node] closed
